year,month,province,profession,new_workers,new_clients,active_clients,active_workers,requests,feedback_1,work_agreements,feedback_2,jobs_completed,payments_in_MTZ,payment_observation_count
2016,6,Maputo,Electricity,40,NULL,13,40,18,NULL,NULL,1,1,NULL,0
2016,6,Maputo,"Construction and Repair",24,NULL,19,24,23,NULL,NULL,NULL,NULL,NULL,NULL
2016,7,Nampula,Electricity,33,NULL,14,33,15,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Maputo,Mechanics,53,NULL,36,53,36,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Maputo,Plumbing,62,NULL,86,62,91,NULL,NULL,1,1,NULL,0
2016,10,Maputo,Whitesmith,72,NULL,55,72,62,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Nampula,Carpentry,25,NULL,7,25,9,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Nampula,Electricity,88,NULL,37,88,41,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Nampula,Plumbing,24,NULL,15,24,16,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Inhambane,Electricity,28,NULL,22,28,22,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Sofala,"Construction and Repair",24,NULL,11,24,12,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Maputo,Carpentry,39,NULL,63,40,65,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Tete,Electricity,24,NULL,9,24,9,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Maputo,Electricity,169,NULL,170,170,190,2,0,NULL,NULL,NULL,NULL
2016,10,Maputo,Painting,95,NULL,25,95,27,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Maputo,"TV installation",40,NULL,25,40,26,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Nampula,"AC Repairing",32,NULL,19,32,22,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Nampula,"Construction and Repair",41,NULL,16,41,18,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Nampula,Mechanics,29,NULL,25,29,27,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Nampula,"TV installation",28,NULL,28,28,28,NULL,NULL,NULL,NULL,NULL,NULL
2016,10,Maputo,"AC Repairing",50,NULL,30,50,33,1,0,NULL,NULL,NULL,NULL
2016,10,Sofala,Electricity,33,NULL,11,33,12,NULL,NULL,1,1,NULL,0
2016,10,Maputo,"Construction and Repair",147,NULL,133,147,143,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Nampula,"Construction and Repair",68,NULL,23,68,26,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Inhambane,"Construction and Repair",24,NULL,21,24,23,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Tete,Whitesmith,48,NULL,34,48,41,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Nampula,Mechanics,38,NULL,33,38,36,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Manica,"Construction and Repair",31,NULL,13,31,17,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Nampula,Plumbing,31,NULL,12,31,13,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Maputo,"AC Repairing",78,NULL,49,78,50,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Nampula,Whitesmith,25,NULL,8,25,10,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Maputo,"Construction and Repair",219,NULL,214,221,226,NULL,NULL,1,1,NULL,0
2016,11,Sofala,Electricity,51,NULL,21,52,25,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Maputo,Electricity,269,NULL,270,275,309,6,0,2,2,NULL,0
2016,11,Tete,Carpentry,34,NULL,11,34,11,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Maputo,Painting,144,NULL,50,144,55,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Tete,Electricity,99,NULL,26,100,28,1,0,NULL,NULL,NULL,NULL
2016,11,Maputo,"TV installation",68,NULL,36,68,39,1,0,NULL,NULL,NULL,NULL
2016,11,Tete,Painting,28,NULL,10,28,10,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Nampula,"AC Repairing",30,NULL,19,30,20,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Gaza,Electricity,26,NULL,15,26,16,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Tete,"TV installation",20,NULL,19,20,21,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Nampula,Electricity,91,NULL,36,91,44,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Inhambane,Electricity,32,NULL,16,32,20,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Zambezia,Electricity,34,NULL,9,34,12,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Nampula,Painting,39,NULL,15,39,15,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Manica,Electricity,29,NULL,20,29,24,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Nampula,"TV installation",29,NULL,42,29,46,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Maputo,Carpentry,69,NULL,64,71,67,2,0,NULL,NULL,NULL,NULL
2016,11,Sofala,"Construction and Repair",23,NULL,20,23,20,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Maputo,Cooking,20,NULL,7,21,7,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Tete,"AC Repairing",37,NULL,6,37,8,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Maputo,Mechanics,87,NULL,48,87,53,1,0,NULL,NULL,NULL,NULL
2016,11,Tete,"Construction and Repair",68,NULL,52,68,58,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Maputo,Plumbing,96,NULL,142,98,158,1,0,1,1,NULL,0
2016,11,Tete,Mechanics,48,NULL,19,48,21,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Maputo,Whitesmith,108,NULL,126,110,142,2,0,1,1,NULL,0
2016,11,Cabo-Delgado,Electricity,20,NULL,14,20,16,NULL,NULL,NULL,NULL,NULL,NULL
2016,11,Tete,Plumbing,25,NULL,20,25,22,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Nampula,Electricity,47,NULL,31,47,37,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Sofala,Electricity,35,NULL,25,35,29,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Cabo-Delgado,Electricity,20,NULL,13,20,14,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Tete,Electricity,28,NULL,11,28,11,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Manica,Electricity,27,NULL,22,27,26,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Zambezia,Electricity,29,NULL,9,29,10,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Maputo,Carpentry,33,NULL,39,33,50,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Maputo,Electricity,124,NULL,111,127,131,3,0,NULL,NULL,NULL,NULL
2016,12,Maputo,Painting,52,NULL,17,53,17,NULL,NULL,1,1,NULL,0
2016,12,Maputo,Whitesmith,35,NULL,50,39,62,2,0,1,1,NULL,0
2016,12,Nampula,"Construction and Repair",29,NULL,15,29,15,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Nampula,Mechanics,22,NULL,25,22,26,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Tete,"Construction and Repair",27,NULL,16,27,16,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Manica,"Construction and Repair",28,NULL,10,28,12,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Zambezia,"Construction and Repair",23,NULL,10,23,12,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Maputo,"AC Repairing",32,NULL,41,32,44,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Maputo,"Construction and Repair",93,NULL,74,93,84,NULL,NULL,NULL,NULL,NULL,NULL
2016,12,Maputo,Mechanics,32,NULL,19,33,19,NULL,NULL,1,1,NULL,0
2016,12,Maputo,Plumbing,41,NULL,55,43,66,3,0,1,1,NULL,0
2016,12,Nampula,"AC Repairing",20,NULL,16,20,18,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Nampula,Mechanics,23,NULL,21,24,21,1,0,NULL,NULL,NULL,NULL
2017,1,Nampula,"TV installation",27,NULL,30,27,36,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Sofala,Electricity,29,NULL,11,29,13,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Zambezia,"Construction and Repair",28,NULL,10,28,11,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Maputo,Carpentry,19,NULL,45,21,55,9,0,3,3,NULL,0
2017,1,Maputo,Electricity,60,NULL,88,62,119,2,0,2,2,NULL,0
2017,1,Maputo,Plumbing,27,NULL,54,29,67,1,0,1,1,NULL,0
2017,1,Nampula,"AC Repairing",21,NULL,16,21,17,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Nampula,Electricity,54,NULL,35,55,38,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Nampula,Painting,37,NULL,11,38,13,1,0,NULL,NULL,NULL,NULL
2017,1,Nampula,Whitesmith,21,NULL,8,21,9,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Tete,Electricity,35,NULL,18,35,19,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Maputo,"AC Repairing",18,NULL,29,20,34,3,0,1,1,NULL,0
2017,1,Zambezia,Electricity,36,NULL,8,36,8,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Maputo,"Construction and Repair",44,NULL,77,45,91,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Maputo,Painting,40,NULL,10,40,12,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Maputo,Whitesmith,29,NULL,28,29,33,NULL,NULL,NULL,NULL,NULL,NULL
2017,1,Nampula,"Construction and Repair",35,NULL,16,35,17,NULL,NULL,NULL,NULL,NULL,NULL
2017,2,Zambezia,Electricity,27,NULL,13,27,13,NULL,NULL,NULL,NULL,NULL,NULL
2017,2,Maputo,"Construction and Repair",23,NULL,31,23,32,NULL,NULL,NULL,NULL,NULL,NULL
2017,2,Nampula,"Construction and Repair",31,NULL,16,31,19,NULL,NULL,NULL,NULL,NULL,NULL
2017,2,Nampula,Mechanics,20,NULL,15,20,15,NULL,NULL,NULL,NULL,NULL,NULL
2017,2,Zambezia,"Construction and Repair",27,NULL,3,27,3,NULL,NULL,NULL,NULL,NULL,NULL
2017,2,Maputo,Electricity,24,NULL,63,25,70,NULL,NULL,1,1,NULL,0
2017,2,Nampula,Electricity,45,NULL,38,45,39,NULL,NULL,NULL,NULL,NULL,NULL
2017,2,Nampula,Painting,20,NULL,9,20,10,NULL,NULL,NULL,NULL,NULL,NULL
2017,3,Maputo,Electricity,20,NULL,49,22,59,2,0,NULL,NULL,NULL,NULL
2017,3,Maputo,"Construction and Repair",19,NULL,31,20,34,1,0,NULL,NULL,NULL,NULL
